,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.47762563994418933, 0.3287880985683528, 0.6262207503781377, 0.25913218834332835, 0.4517962823510311, 0.1288191972908937, 0.3287437797515679, 0.2320696721867106, 0.384720015730928, 0.3185157412044011]","[32.33571429 33.66746032 35.81547619 35.30322934 40.81904762 30.82886905
 37.485      34.8875     31.25125    35.60666667]","[43.07430181 47.25050712 47.65994375 47.72729307 53.40277951 44.57841106
 51.00253316 50.64601416 42.84486915 45.41566482]",0.383865292290115,34.80002134646962,47.36023176129706
1,Random Forest,"[0.42897808895817274, 0.6675371537620938, 0.7057768080234369, 0.5819081123222647, 0.5973306810333939, 0.6221051374347842, 0.5986213506220777, 0.6376059365734441, 0.5955325689095544, 0.5889222506195472]","[31.71751401 27.52688524 29.12678951 28.25135557 37.2200735  24.1000932
 32.32964526 26.90045742 33.02443185 27.4589055 ]","[44.88496687 33.02355952 36.1625336  37.56198148 45.81955688 28.38731619
 39.85505611 33.47657287 39.13594749 33.12460196]",0.6024318088258769,29.765615107111095,37.14320929544901
2,Gradient Boosting,"[0.5928817588990145, 0.6151701780316885, 0.7491902637441488, 0.648827203533026, 0.667373903348911, 0.5102793765237035, 0.7424267828210986, 0.765266033540529, 0.7160999332284352, 0.44235649739626026]","[26.42135824 26.94289308 26.57597572 24.07844735 32.52462674 24.89421389
 24.8901369  21.02116723 23.11908826 31.02351543]","[37.27286594 33.64911952 32.04950365 33.10663271 43.14262998 33.61594095
 33.51324209 26.10093347 31.14096836 37.03188535]",0.6499730801855236,26.14914228476805,34.06237220177696
3,XGBoost,"[-11.744703571478503, -11.304513302425, -8.285046484890735, -11.508144599173868, -8.718188634730861, -17.380738472321937, -8.632925070674721, -12.498789534073417, -10.294708663807217, -13.074564884377637]","[205.39123898 194.02705238 194.00280398 194.1388419  213.21982269
 190.72505493 186.52364502 197.9443718  196.79595795 189.8486145 ]","[212.07225599 200.27644334 202.19360439 199.50732995 221.49613366
 194.90403803 194.41361413 203.01301601 203.87005293 193.85364614]",-11.343934867401968,196.26174041384743,202.56001345642
4,LightGBM,"[0.37779637149200707, 0.5006001102059381, 0.5369787232259822, 0.4632201623243199, 0.47150633941883247, 0.4661137987000137, 0.5546730117321936, 0.43574467362289393, 0.4922135609928771, 0.4943809166020028]","[29.31433801 28.15985125 30.66391034 25.76312923 36.07545901 25.59460049
 25.66313742 26.78117075 29.45131287 25.53306699]","[41.97442439 34.25913801 37.55858358 36.53713243 44.5772585  29.90029483
 34.02859946 33.50796519 36.93451352 31.90961584]",0.6226303241472614,28.29999763652139,36.118752577351636
