,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.25351866982042875, 0.41175054874664485, 0.34147771663222476, 0.09123903092045843, 0.4024172521274638, 0.02664839871730096, 0.2335605376944785, 0.6194986938726444, 0.44078196312913115, -0.27218404893302706]","[36.84630793 32.76950054 35.36254804 39.93114944 36.44355079 35.88880465
 41.67878854 32.56818768 32.72076301 36.96813044]","[51.03841531 40.50916529 48.9426168  53.79894011 49.19790224 45.82546698
 55.14420017 41.02963773 40.4756024  45.34779666]",0.3345148911717333,36.117773107152644,47.1309743693444
1,Random Forest,"[0.33591902500281084, 0.4550806051858683, 0.5028599480904277, 0.2970255994495741, 0.5374746609773984, 0.21639003249058542, 0.2859228547617469, 0.3078771414869239, 0.3784601753908222, 0.302219838974165]","[36.6400339  31.08228907 38.71667599 37.44789271 39.46189409 32.86813737
 44.22714592 37.05320327 42.82209763 33.87282558]","[48.32716543 42.27254384 47.74449472 47.80940534 48.58459698 40.5952995
 53.11854283 45.47954492 48.38536823 42.21230931]",0.36527782079623067,37.41921955328927,46.452927109500806
2,Gradient Boosting,"[0.4235726083621789, 0.5774280773727813, 0.5923331249011214, 0.4880106189105702, 0.6069623973056386, 0.2674085746524902, 0.40729110216311176, 0.6655904493140085, 0.5935483200339252, 0.3270390857004884]","[32.96152492 27.67167597 31.40029099 31.61216008 32.41330059 31.18228276
 35.82646127 23.55640765 29.6204851  34.0952755 ]","[44.19995454 37.35677601 41.94876459 40.42639715 44.72878355 40.55435569
 49.5872473  32.1238421  38.37374414 42.20473454]",0.49579895424442544,31.03398648303954,41.150459961107586
3,XGBoost,"[-11.802040176999014, -11.156361128006466, -8.13106305090421, -11.477225858342155, -9.022859613994033, -17.010271771242785, -8.606640845378276, -12.444532061762164, -10.397701729466277, -12.669425939352642]","[205.80930946 192.39368984 191.19135393 193.61132159 216.91986008
 188.91364441 184.39551926 197.24457169 196.77622528 186.80692444]","[212.53132413 199.20798788 200.52054058 199.41233618 224.87110694
 193.36799981 194.16180325 202.7131468  204.9969928  191.03867407]",-11.271812217544802,195.4062419964018,202.28219124414596
4,LightGBM,"[0.2608337529497388, 0.3420886033988035, 0.35468698148922223, 0.16176248542243832, 0.2876961088701807, 0.26267310436362135, 0.28505364307626085, 0.1765458812980878, 0.3265437607567174, 0.16841974200451726]","[37.10045049 30.94406721 36.96937994 39.53967903 42.96006741 30.58473838
 40.82143711 35.13210305 38.29490626 32.93043891]","[47.96341737 42.4476396  50.04775689 49.68727129 53.8118565  38.33464187
 49.6448421  46.6256162  45.17336536 43.63407422]",0.36417703254542244,36.52772677741125,46.73704814009981
