,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.46108913658123113, 0.31320211020229355, 0.6728824017994082, 0.5437137579726268, 0.4682651331503604, -0.06495311472093956, 0.270943833499754, 0.2430966296178253, 0.6039638481855849, 0.3942000421631761]","[31.96865079 33.38756614 33.37261905 31.96254209 31.35535714 32.975
 39.329375   32.07916667 28.06875    33.3       ]","[42.77108696 47.40743789 39.99888896 43.20811179 53.63271032 45.34696103
 44.43846481 46.71383063 37.30124411 42.42905844]",0.418016891864213,32.779902687590194,44.32477949444922
1,Random Forest,"[0.41335763220649485, 0.6260719173114621, 0.7005448117254163, 0.6180724201918311, 0.5703920112231753, 0.602202075617287, 0.5876855429903711, 0.6542092798773717, 0.5814449863853937, 0.536177747450411]","[32.15010971 28.93237911 29.63372811 26.90080591 38.38288861 24.79976825
 32.44554681 24.77667867 33.47247027 28.20140682]","[45.50864765 35.14571422 36.49577091 35.97042315 47.20572297 29.16285217
 40.41499763 32.90694103 39.834725   35.14441858]",0.5890158424979214,29.969578227131553,37.7790213317201
2,Gradient Boosting,"[0.5765940343157157, 0.593084765109755, 0.7356542848270231, 0.7196580086717598, 0.6260586475131662, 0.47107746770350095, 0.620022208376583, 0.719284846985498, 0.7138419636197957, 0.4880399997893009]","[27.53576045 28.99319743 27.94496265 22.45873819 33.66204722 24.154462
 27.56870384 23.00338766 23.78838694 30.2251976 ]","[38.67927298 36.42456788 34.09936188 30.75473935 44.40912708 32.10383337
 38.98983848 29.80069315 33.40695791 37.01441736]",0.6263316226912099,26.93348439828946,35.56828094341985
3,XGBoost,"[-11.814176979049664, -11.475213165847897, -8.333514292979906, -11.534008617421842, -8.684887737544008, -17.816365654636996, -8.691950190119414, -12.554574312061224, -10.285623513337729, -13.307822080745183]","[205.60329474 195.41678438 194.42372204 193.9933864  212.01468811
 193.3163414  187.15667267 197.85433044 196.4597908  190.86758347]","[212.65887468 201.75285804 202.75328711 199.80819312 221.11909861
 197.64777104 194.89689093 203.43021723 203.72399523 195.3021844 ]",-11.44788694379278,196.7106594448998,203.30933703800793
4,LightGBM,"[0.31902415785346694, 0.52370051945308, 0.5146012384578226, 0.49675946787872116, 0.44553358725611963, 0.4601451284044179, 0.5263686072899182, 0.499881690336471, 0.49025233396416895, 0.48258005133744186]","[31.26968358 27.3691965  31.63071566 25.38307611 38.24471199 25.43836783
 27.57196531 25.77654752 29.69164344 25.4818249 ]","[43.87410958 33.17468086 38.54048857 34.94712495 46.29656552 29.88202175
 36.15182756 32.49636445 36.6477242  32.84431362]",0.6150952132022355,28.785773284009128,36.48552210781569
