,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.07151422597670964, -0.16652999041483363, -0.05901050468449598, 0.07275169004553533, 0.18739533086320675, -1.09932863943022, -0.19442387225991942, 0.5585402455523889, -0.3060594974417047, -0.12988018047064642]","[38.02151361 37.19420645 43.33510159 33.18426358 39.36435541 36.07232034
 37.40851311 30.67883158 45.93857915 31.76840177]","[48.90904466 49.71518166 58.26214858 48.21290921 51.34206443 49.57923981
 52.38386838 36.46493569 54.48858741 41.59735237]",0.29023439173054344,37.29660865973154,49.095533218913125
1,Random Forest,"[0.4560887915918939, 0.34239127391773116, 0.3217970948280999, 0.4191752173691926, 0.4993086023761118, 0.399526381451773, 0.3101818430973026, 0.5683388608883546, -0.049294364746065855, 0.6358449584682031]","[34.01343661 35.2591854  41.68015039 33.0380734  41.50141395 28.078678
 43.82797861 31.18179559 53.75300422 23.81000548]","[43.8645341  46.28585028 55.23949959 43.58076366 50.27899464 35.43503987
 52.53604321 36.48982072 62.02890817 30.94091327]",0.3903358659242597,36.61437216496638,45.66803674991259
2,Gradient Boosting,"[0.28767579314754527, 0.2597713278115773, 0.3840279569355472, 0.2613569015748442, 0.45858342877766073, -0.17809743480143359, 0.16365675720428452, 0.3586781248137221, -0.020126823754392897, 0.13054442778418773]","[37.38728764 35.9541139  40.95786479 36.60901627 40.56272873 37.57889103
 43.70949226 34.79733405 51.68011712 34.83622479]","[50.17984823 49.13110574 52.75089828 49.13597764 51.85850361 50.00395013
 57.76235251 43.62423406 60.54706773 47.7592628 ]",0.21060704594935423,39.407307057409234,51.275320073228634
3,XGBoost,"[-11.975098000283808, -10.987395431057742, -8.14062468819631, -11.223169664340887, -8.872273926786757, -16.624198011105985, -8.495518545577948, -12.189509250713257, -9.959225126314916, -13.326294529933104]","[207.78524853 191.31969924 191.35125442 191.14285133 215.85343399
 187.19219055 184.68274231 196.19325256 191.47902832 192.453936  ]","[213.97267913 197.87421232 200.63042972 197.40373895 223.16566809
 191.21986438 193.09204752 200.87814443 200.90267939 195.5432974 ]",-11.179330717431071,194.9453637259347,201.46827613382376
4,LightGBM,"[0.2448886254477728, 0.292052433432099, 0.35383507015879545, 0.2702584027042936, 0.25337221833737567, 0.34225254928063126, 0.2590266995047026, 0.29576830222151324, 0.2258527458166567, 0.3634020204009227]","[39.99441241 35.06083262 37.37994045 35.74890756 46.62011794 29.65902385
 44.02590032 31.84178764 45.73661738 30.02789943]","[50.736366   46.188207   51.64054439 47.21146707 56.86071025 37.46395363
 53.98372819 43.51911868 52.98368411 42.57068896]",0.3253782343942305,37.609543960091216,48.315846827199756
