,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.30357440144259806, 0.042330329902299735, 0.6615824237345129, 0.02167500857801752, 0.3064756126317357, -0.22832604971686976, 0.5005542103021892, 0.5553331365449339, 0.5040063365096707, -0.026104314377796756]","[43.45265368 39.7734201  33.2597861  37.88225724 50.31330036 36.94917261
 39.19140213 32.88235414 39.11604441 40.44098506]","[55.93463393 53.88848175 45.20087369 45.65740048 54.34712964 42.45426108
 51.42737565 41.2184215  47.22473566 50.11374015]",0.2825727804134815,39.32613758202363,48.7467053511557
1,Random Forest,"[0.1651988247353825, 0.31239375905914707, 0.5576836178985116, 0.3550256265804746, 0.4826362262798346, 0.4032480958365455, 0.4455039090958532, 0.48583231312314185, 0.40781756278816894, 0.21932074688771713]","[43.72232187 39.71778904 36.50173391 36.74405605 41.72537728 30.10678532
 37.63611928 30.00544212 39.05532831 35.53172865]","[54.28015322 47.55929511 44.52816911 45.9271785  51.62453147 35.98249476
 46.70980904 40.07520576 47.44220283 45.54407021]",0.38346606822847773,37.074668182866034,45.967311001853474
2,Gradient Boosting,"[0.5631060497432363, 0.42721582611978953, 0.753109129225837, 0.3910270997086724, 0.6304287165974516, 0.48017223497876865, 0.7478309717930856, 0.7133995703138637, 0.7019998714633674, 0.27534662263386717]","[29.09430278 33.19889668 26.39159303 34.44625705 35.57344309 25.90559043
 24.10932192 24.47331739 23.87011903 34.97258362]","[39.26557069 43.14003974 32.79524915 44.61870545 43.6824983  34.05544548
 31.32399297 29.88385751 33.74258482 43.9669895 ]",0.568363609257794,29.20354250174653,37.64749336033714
3,XGBoost,"[-12.032328028701095, -11.198644574529958, -8.455385800686734, -11.569748282058303, -8.64243791708303, -17.160209939418802, -8.810538078958846, -12.286015123517323, -10.607894979283735, -13.25473804137806]","[206.79759943 192.00641886 195.13573201 192.51264227 210.97847748
 189.51816711 188.81901474 195.35663681 199.40974426 188.93183823]","[214.4183483  199.57698412 204.05717589 200.00088457 220.65151288
 194.02440057 196.19443267 201.4859734  206.86360136 195.0969027 ]",-11.400602891511877,195.94662712097167,203.23702164712472
4,LightGBM,"[0.17888918832203649, 0.25062290870306786, 0.43177740486295896, 0.2812185018345301, 0.40016664262345286, 0.322136973833605, 0.3927134545667764, 0.3665388524942559, 0.3234387652485817, 0.3675473499059254]","[41.45059799 40.34954184 34.91535763 36.91597975 40.59716417 29.1992981
 34.71667009 30.6726788  36.43593946 31.44566274]","[51.74939934 48.54931141 43.97346489 45.80754592 50.23191231 35.07122825
 42.2346078  40.82826371 43.45937077 39.65232271]",0.43355802321575754,35.66988905659237,44.155742712057425
