,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.42433737368248375, 0.13626508564042678, 0.3095115976001309, 0.4019928227625036, 0.20905479875280747, 0.24563581268318768, 0.42684967903560006, 0.1921563033487892, 0.23876294124295627, -0.3028358730164859]","[32.47622483 40.13994709 37.35881271 30.30848948 44.67307215 31.22142316
 32.51434715 38.1133078  35.91818537 42.99409202]","[46.59581387 53.37899743 57.30746589 43.57652887 62.74711196 37.30031692
 44.31030003 49.24287391 47.2267026  59.3507945 ]",0.3413624270240335,36.57179017565723,50.103690596484036
1,Random Forest,"[0.2043022543449275, 0.4133815759864785, 0.5601078544079656, 0.2692131414475738, 0.4342844763740304, 0.43968183866687854, 0.2949386285478991, 0.3558378588542214, 0.34956429746749684, 0.21690142488485098]","[40.88503765 37.37962715 34.52367885 38.64171329 43.68736849 28.31765364
 45.22078817 35.06902957 41.05821466 36.68076672]","[52.43332019 43.97273437 45.04410777 49.13926248 53.5962854  34.64681044
 53.05845018 44.44685258 49.39239876 45.88794897]",0.35733526453926434,38.146387819920236,47.16181711365165
2,Gradient Boosting,"[0.6175939674815292, 0.5432029561682474, 0.7741158708390182, 0.6379654106654715, 0.6780665647789672, 0.5211252464508982, 0.6754511157111838, 0.7166184872959696, 0.6106312183747735, 0.40957284071770733]","[26.22943368 27.6919621  23.69794231 24.9725018  33.45250755 24.75790961
 28.55679297 24.21057698 27.14943842 33.55610019]","[36.735061   39.3647259  31.728668   34.74651518 40.51365792 31.82144291
 36.10827711 30.12646553 38.76168881 39.45009102]",0.6184343678483767,27.42751656092086,35.93565933802026
3,XGBoost,"[-11.895237207482584, -11.212738012403037, -8.257265525553587, -11.370882294858934, -8.864997278863399, -17.310980134229276, -8.825165999559111, -12.358925628930612, -10.95732004467583, -13.358469739527678]","[206.05242411 191.86255682 192.4132378  191.64380173 213.45523987
 189.93492203 187.49563446 195.53665924 201.44422379 189.97998276]","[213.31953695 199.70261789 202.1087185  198.59882268 223.00141248
 194.71788907 196.35539951 202.09537087 209.82620269 195.83533568]",-11.441198186608403,195.9818682607015,203.55613063213562
4,LightGBM,"[0.24590887374068604, 0.2718731687815075, 0.3802156430267613, 0.2683507592222288, 0.33624091876374357, 0.34533465669874336, 0.330767718175507, 0.4133824367443378, 0.33621377246753975, 0.2592722663034339]","[37.78722964 35.76270834 34.26737071 35.08911475 43.07900991 30.51529753
 37.90571472 30.24921546 36.25382116 31.2430504 ]","[48.45210012 44.21272844 45.60207236 43.77597023 52.33419244 35.64525718
 46.12777652 39.53343257 43.35898576 40.6341765 ]",0.4442436871482065,35.2152532625887,43.967669210358814
