,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.16246530355316946, 0.2087327230257296, 0.43704048304958787, 0.3340958647574378, 0.6234043576466202, 0.17746737791596512, 0.5018724127128985, 0.12274665928369827, 0.14250292447664747, -0.19777625462813786]","[45.92166763 34.00073959 28.97807744 31.9456323  34.53118069 36.00963458
 32.45979198 35.23550265 37.5562576  42.10953451]","[60.44943605 44.77628663 38.42407222 44.37601763 49.1279277  45.24258697
 38.94058672 45.38427002 53.66227651 49.32046426]",0.34263900262469155,35.8748018973084,46.97039247139784
1,Random Forest,"[0.3938936148282396, 0.6370824437867564, 0.6387530224350455, 0.39311578824591137, 0.5079268367033587, 0.4919472955073238, 0.4075392737189422, 0.4199476244626421, 0.4990922853426664, 0.34888827134839134]","[36.17409991 29.40699398 32.29896093 35.67343629 42.21101652 28.26188721
 39.63503092 33.91258688 35.71811603 33.32324785]","[46.73381454 34.10379713 40.8893382  44.48867146 51.12510615 33.00650122
 48.05836488 42.0417151  43.51795457 41.31927342]",0.4746136423799844,34.661537652224524,42.52845366649083
2,Gradient Boosting,"[0.5704755426034456, 0.5856810293431025, 0.7503391525593768, 0.6138376468049915, 0.6581521964573995, 0.4807135693645194, 0.6963241537028673, 0.6476085709180677, 0.5481567937492795, 0.4131821812426931]","[27.99125863 29.80873025 25.58449624 29.15460705 31.1172027  28.32860546
 24.59450041 24.10338099 30.56392773 32.43690251]","[38.95299519 36.48182223 33.71483823 35.87261903 42.08107189 33.77348945
 34.92927368 32.85206795 40.95454942 39.60213558]",0.5964470836745742,28.368361197783948,36.921486265823454
3,XGBoost,"[-11.851269856908953, -11.134914650267802, -8.26955908448086, -11.41652008583161, -8.866679552350313, -16.941717144108356, -8.521000882510272, -12.447563489286814, -10.57632862320611, -13.076035272707717]","[206.25536746 192.76176089 193.49728684 193.04060291 215.02344437
 188.99221191 184.64881516 197.22660599 199.42875671 189.06559219]","[212.9428597  199.06186361 201.93360094 198.87876566 223.09671814
 193.01698107 193.30450965 202.63169092 206.54922237 193.79675463]",-11.310149795321,195.99404444376628,202.52129666993392
4,LightGBM,"[0.3657904345388724, 0.4563868661992548, 0.4534951640506539, 0.3194363874781492, 0.40559612084172475, 0.47580061769900045, 0.40016379339523767, 0.3464690656753391, 0.4209133828660051, 0.3464505273108251]","[32.4345207  30.01755829 30.22814011 35.55015476 38.47111426 26.5697941
 34.84241165 30.714598   31.97773198 29.95899823]","[42.73166456 36.49815978 41.73125167 43.86288996 47.4472501  31.618541
 42.35994426 39.48357192 40.51088345 39.33919059]",0.5230093727551456,32.076502208898205,40.558334729928596
