,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[-0.16544119136401492, -0.7415351940256488, -0.08501956159243862, -0.44610320408751425, -0.4033030755396442, -0.8803673119128758, -0.32231200562149365, -0.2935271619196287, -0.5941771311429684, -1.48037487564419]","[40.98735189 49.8511788  42.95253989 51.3027934  52.50978205 43.82028846
 42.85762152 39.97766272 45.62403626 55.1622619 ]","[50.88472696 59.02471797 56.47274986 64.40538179 67.71247922 55.44894404
 55.28056031 55.327727   56.76536782 67.70104513]",-0.06503978235997084,46.50455168995127,58.90237000923037
1,Random Forest,"[0.2018101647506781, 0.08578772062590995, 0.35462615218806287, 0.24928744203020087, 0.20172657815977502, 0.11909976520827531, 0.2580361693884059, 0.3892352611287859, 0.1808740334078992, 0.12377711265505514]","[42.21519126 46.87614828 43.02599257 37.72527784 52.0403274  36.55463398
 40.46840902 33.68074985 44.53425862 38.54774927]","[53.09286819 54.69736919 53.8702024  49.01492398 63.89354835 43.90638714
 54.07707133 43.51381482 55.03143842 48.35234779]",0.21642603995430482,41.56687380900661,51.94499716180803
2,Gradient Boosting,"[0.30638171051456625, 0.04089964808023466, 0.12511360522087828, -0.0787231270415591, 0.15134515868201326, -0.06811794826596462, 0.18115662568118113, 0.37561080154088045, -0.23387876638073957, -0.35929139283106026]","[40.09321021 46.51483702 49.08541065 44.30515885 53.56179877 39.09871824
 42.14724062 30.88770854 52.50711545 47.22310697]","[49.54466306 55.70983546 62.35078362 57.87766097 66.18715302 49.00011487
 57.07043485 43.69801264 67.82532055 60.1343935 ]",0.04404963152004303,44.54243053227513,56.939837254608314
3,XGBoost,"[-12.15203600744264, -11.066101271289707, -8.243555209018549, -11.274612254777395, -9.072420564385833, -17.214348483156154, -8.642246648224091, -12.725318849262134, -10.526908502118308, -12.543095840659587]","[208.16535514 190.07299151 191.44914609 190.26883589 215.21962814
 189.51414642 185.91954041 198.58945389 197.7501358  184.1411499 ]","[215.42204456 198.43688063 201.76205738 197.75391918 225.36228494
 194.48029615 194.59188667 204.73175024 206.02936934 190.18101364]",-11.346064363033438,195.1090383184524,202.87515027410126
4,LightGBM,"[0.17411836793654467, 0.026327636380377772, 0.23322596177031485, 0.10255192823544101, 0.13363516860244035, 0.1474866951652838, 0.1960446606375355, 0.3251251815097988, 0.010763792428475916, 0.13526657213370175]","[41.52452255 47.34774227 43.18117428 44.59959626 53.29416932 34.97084008
 43.09787709 36.10462477 50.8265036  41.29295523]","[51.87617564 57.02902499 55.28503713 53.52375153 65.22599189 43.06338204
 55.19853556 44.15302935 62.28965792 49.71081031]",0.1606145327114951,43.624000543614954,53.73553963640065
