,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.5223222521812739, 0.5844458830889342, 0.5924893525265416, 0.09811496881543785, 0.5275834863288549, -0.07417044694602842, 0.3186550126282763, 0.5263195313480916, 0.30555837790775536, 0.18502673569584704]","[31.61507487 28.74036493 25.91845284 43.64769893 35.58505903 34.84933568
 39.47031112 28.48540028 33.43982907 29.98712516]","[42.52618409 36.69496787 36.17747854 57.45552088 46.46439252 41.90239622
 54.47103378 39.12155298 42.08944154 40.16808927]",0.42261401926709397,33.173865190243944,43.707105770494664
1,Random Forest,"[0.36915110154968417, 0.6215396961156218, 0.6464524828478391, 0.3553856345507296, 0.5554796965184732, 0.5029139713575589, 0.38082144397115286, 0.4357055840023593, 0.47968723728552504, 0.4573098865019875]","[34.75347567 29.10562421 30.79245491 36.55758253 37.4563407  27.62077794
 41.34252691 32.14981939 38.29272146 31.10684345]","[47.20868889 35.22784275 40.1890368  45.21953614 47.44888253 32.89350182
 49.38959359 40.65071961 44.96718833 38.25421588]",0.4823278523368028,33.91781671603664,42.14492063379453
2,Gradient Boosting,"[0.6488167181111251, 0.753673095587488, 0.7711144217517574, 0.6405661151026696, 0.736987275565548, 0.45012815633627445, 0.6802224586792063, 0.5563716040406719, 0.6713327198101705, 0.46033052090084675]","[25.5750517  21.14712105 24.96797102 26.26328348 28.15609603 27.02740425
 28.08961254 24.02136468 26.03615959 31.9085432 ]","[35.22551656 28.31049009 31.61255833 34.7678104  36.77570851 34.15395579
 35.65653847 36.32687945 35.52065768 37.74036058]",0.6369543085885757,26.319260752559728,34.609047587078976
3,XGBoost,"[-11.73134439548986, -11.101856091519112, -8.05476979586414, -11.46453673538134, -8.880099551005522, -16.92702454439167, -8.666228253927791, -12.378832495171556, -10.53696164702857, -12.761340354661083]","[205.42493257 192.33162144 191.19251142 193.65984526 215.6048996
 189.0085022  185.61553421 197.21852112 198.46019821 187.67072296]","[211.94561312 198.82261823 199.78433921 199.27861333 223.23983304
 192.82412022 194.75224959 202.28206815 206.24167569 191.7306164 ]",-11.250299386444064,195.61872889927454,202.09017469878194
4,LightGBM,"[0.35114227613985194, 0.46695148888861643, 0.5067998457744944, 0.2965968155994297, 0.3904720107301629, 0.4437167718292126, 0.41733884873730714, 0.30898624341494496, 0.47626877967954684, 0.3656823680987998]","[32.16905709 28.19313628 29.74735633 35.20280803 38.42377732 27.98831951
 34.47985985 30.98749042 32.70173873 29.75425723]","[43.11300456 36.6190504  40.57550566 44.5575681  48.20781681 33.68036214
 42.42647842 40.37436348 40.37221653 38.22271675]",0.5168249520590281,31.964780079011756,40.8149082859009
