,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.2046464556280435, 0.42856852023926784, 0.7246823902014523, 0.25748368256428883, 0.08905175300379198, -0.10391921647306662, 0.5506712175371007, 0.2614038026184694, 0.2942183313674682, -0.04547555746772358]","[42.88095238 35.26190476 20.95238095 38.52380952 51.375      41.125
 36.225      38.25       42.725      39.35      ]","[51.67112116 45.17979953 36.50635952 46.34626404 66.72162318 65.64583003
 46.06517123 50.77031613 50.72942933 60.90566476]",0.2661331379219093,38.66690476190477,52.05415789103298
1,Random Forest,"[0.35861256108093664, 0.5954885000924897, 0.600474186431735, 0.34736076037076, 0.405972724792042, 0.4799538911202423, 0.37100800763228153, 0.36684458663501673, 0.4883323380164188, 0.18370237467812622]","[39.551225   30.45913206 33.8114792  37.06290197 46.46797543 28.12833193
 41.24683564 35.58931846 36.00973353 38.82477512]","[48.21012387 36.38329063 42.72708607 46.08567161 55.51034847 33.84318051
 49.5466919  44.29508376 43.77100122 46.21238209]",0.4214861369976878,36.7151708333715,44.65848601402432
2,Gradient Boosting,"[0.5257285307842724, 0.6458120749589688, 0.7223812011237264, 0.610453540790398, 0.5283110834119786, 0.41881205857097464, 0.7087031252966745, 0.6080256237320587, 0.47453282594878554, 0.3377866329728902]","[29.15636072 26.77016204 25.10359108 26.08468439 35.72527116 27.27618702
 26.70588845 26.63623791 32.8340211  35.58094532]","[40.31737753 36.02563964 34.49403976 35.70221378 49.4035135  33.73575999
 33.79519429 34.7795312  41.98459002 43.88212859]",0.5644853738117581,29.187334918327032,38.4119988284099
3,XGBoost,"[-11.87770434552985, -11.07241347330623, -8.366260269433644, -11.658469935046933, -8.822491774315512, -17.048891653212063, -8.638015655112614, -12.377588063464472, -10.748347406537702, -13.663669270034422]","[205.95156642 191.60368492 194.17312186 193.8667479  212.84127197
 189.22285614 185.9320137  196.22124176 200.79280853 191.57496338]","[213.16256657 198.58955549 203.02034312 200.89336424 222.58665051
 193.52967697 194.5196267  202.28829735 208.07989815 197.75209205]",-11.427385184599343,196.2180276598249,203.44220711520623
4,LightGBM,"[0.30670831324213316, 0.44651536681534965, 0.394679558197658, 0.3572225719195291, 0.34582664708112676, 0.3426372513473013, 0.38502367518706754, 0.40079184899430864, 0.44639198565111904, 0.20606452360503158]","[35.76366953 30.5518018  34.96075069 34.77489568 41.86954731 30.41549547
 35.48426066 30.90505922 33.63956942 35.27554336]","[45.47484587 38.91707616 47.58385233 43.2702315  52.0078604  36.82344973
 43.91495309 38.78728738 41.10606418 43.04656411]",0.4617010895971694,34.364059313575055,43.09321847288474
