,Model,R2_list,MAE_list,RMSE_list,R2,MAE,RMSE
0,Decision Tree,"[0.5831921634765896, 0.2807849101460058, 0.4297733483589751, -0.21874777139092283, 0.46039826792280014, 0.28943124411119603, 0.6766505952055266, 0.5189823136438327, 0.4652890084772731, 0.07415083083208218]","[30.32877272 36.00236776 26.19742063 40.96221483 38.7857197  25.8597809
 28.7943759  28.59492736 28.50061221 35.87038185]","[40.93967902 54.6998473  47.86966919 53.282338   49.31504654 36.26103371
 37.76099991 38.31768523 39.4290981  51.42478576]",0.38720870385644757,31.989657385203202,44.93001827602215
1,Random Forest,"[0.3183799567805237, 0.5701905938463598, 0.631361987652808, 0.45614252839500147, 0.5263496997582888, 0.501400045508551, 0.46205043234475995, 0.49859235360769033, 0.5064918638503617, 0.4461083506195059]","[36.81315456 30.99458217 32.63489743 33.99478672 38.31189616 25.89534481
 37.80210809 31.17891327 36.89479632 31.35646903]","[49.02296761 37.56205204 40.62630575 42.30115712 49.52704008 32.54837811
 45.96588476 39.20596514 43.38810748 38.42080205]",0.491706781236385,33.58769485601461,41.85686601412583
2,Gradient Boosting,"[0.5760476753827851, 0.5784281130233186, 0.7457137072965649, 0.6199423542759793, 0.6843043821600154, 0.6665421957599875, 0.7073828436110019, 0.6788795716215628, 0.7034514182392242, 0.568782165169434]","[25.35917502 28.39709754 28.18951741 29.11014591 29.59076337 19.51490018
 24.44644333 21.07951371 25.38266247 28.816564  ]","[37.95407042 35.99797866 34.42546227 36.76379693 38.54818121 26.6906791
 32.25043606 29.73769248 34.82608031 32.14957714]",0.6634450068098108,25.98867829410575,33.93439545723532
3,XGBoost,"[-11.806153070354561, -11.123922928981198, -8.261288538475378, -11.386979125836302, -8.81906649109143, -16.910079117422562, -8.711693701309017, -12.323352834687288, -10.474673622691949, -12.765551818581745]","[205.58008684 192.50716654 193.37929862 193.13603065 215.02062302
 188.90684128 187.24668579 196.66119766 198.60614853 187.54403915]","[212.5654846  199.08024425 201.94408033 198.641082   222.54418886
 192.88546895 195.14489829 201.72210225 205.6562503  191.76247438]",-11.256901204435028,195.85881180899486,202.19462742027704
4,LightGBM,"[0.3046075856615012, 0.3919666107544736, 0.42560280805619183, 0.3183846095729067, 0.412758158426536, 0.4365792541994706, 0.40877325862699215, 0.35953377084375115, 0.4325167146525321, 0.4058604407061884]","[35.47560409 32.96359125 32.90657499 35.26250016 39.80055855 23.62234759
 33.64363237 30.44717187 31.50161602 27.6748711 ]","[46.27955946 41.0680796  43.81444955 44.17642968 49.30154311 31.65982459
 42.15075376 39.86025182 39.69378048 36.02252023]",0.5051254633954263,32.32984679909448,41.402719227800766
