,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7560975609756098, 0.8780487804878049, 0.8536585365853658, 0.8536585365853658, 0.75]",[0.81481481 0.90196078 0.86956522 0.86956522 0.7826087 ],[0.8872549  0.89215686 0.9225     0.8875     0.84375   ],0.8182926829268293,0.8477029459126644,0.8866323529411764
1,RandomForest,"[0.7804878048780488, 0.8536585365853658, 0.8048780487804879, 0.7804878048780488, 0.8]",[0.84615385 0.89795918 0.85106383 0.80851064 0.84444444],[0.93382353 0.90686275 0.9375     0.88       0.890625  ],0.8235365853658537,0.8496263884713733,0.9097622549019608
2,KNN,"[0.7317073170731707, 0.8780487804878049, 0.8048780487804879, 0.8292682926829268, 0.75]",[0.79245283 0.89795918 0.82608696 0.85106383 0.7826087 ],[0.70220588 0.87009804 0.8175     0.8375     0.75      ],0.7987804878048781,0.8300342991646591,0.7954607843137255
3,LogisticRegression,"[0.8048780487804879, 0.8780487804878049, 0.8780487804878049, 0.8048780487804879, 0.725]",[0.88461538 0.8627451  0.89361702 0.875      0.76595745],[0.92156863 0.90196078 0.89       0.89       0.796875  ],0.8279268292682926,0.8563869901479414,0.8800808823529411
