,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.6585365853658537, 0.4878048780487805, 0.5365853658536586, 0.5609756097560976, 0.6]",[0.70833333 0.55319149 0.57777778 0.60869565 0.66666667],[0.74264706 0.56372549 0.63875    0.64125    0.63802083],0.5687804878048781,0.6229329838626786,0.6448786764705883
1,RandomForest,"[0.5853658536585366, 0.6097560975609756, 0.5121951219512195, 0.5853658536585366, 0.475]",[0.68085106 0.6122449  0.62222222 0.60465116 0.64      ],[0.66176471 0.62254902 0.635      0.6075     0.5234375 ],0.5782926829268293,0.6319938693603782,0.6100502450980392
2,KNN,"[0.4878048780487805, 0.7073170731707317, 0.5853658536585366, 0.3902439024390244, 0.6]",[0.55319149 0.76       0.65306122 0.41860465 0.66666667],[0.47671569 0.68995098 0.57       0.39875    0.58333333],0.5541463414634146,0.610304806336191,0.54375
3,LogisticRegression,"[0.5365853658536586, 0.7073170731707317, 0.5365853658536586, 0.6097560975609756, 0.475]",[0.59574468 0.72727273 0.6122449  0.65217391 0.53333333],[0.5245098  0.69607843 0.5225     0.6675     0.48177083],0.5730487804878048,0.6241539104919571,0.5784718137254903
