,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7804878048780488, 0.8536585365853658, 0.8536585365853658, 0.7317073170731707, 0.775]",[0.83636364 0.88       0.875      0.7755102  0.8       ],[0.8627451  0.88480392 0.92       0.79       0.84895833],0.7989024390243903,0.8333747680890538,0.8613014705882354
1,RandomForest,"[0.7560975609756098, 0.7560975609756098, 0.8048780487804879, 0.8048780487804879, 0.75]",[0.80769231 0.83333333 0.88       0.85714286 0.80851064],[0.82598039 0.90931373 0.9        0.875      0.81510417],0.803780487804878,0.837335827293274,0.865079656862745
2,KNN,"[0.7560975609756098, 0.8536585365853658, 0.8536585365853658, 0.8292682926829268, 0.85]",[0.80769231 0.86956522 0.875      0.85106383 0.875     ],[0.73161765 0.85784314 0.8575     0.8375     0.84375   ],0.8285365853658536,0.8556642709741693,0.8256421568627452
3,LogisticRegression,"[0.7804878048780488, 0.8292682926829268, 0.7804878048780488, 0.8292682926829268, 0.8]",[0.80769231 0.85106383 0.85714286 0.83333333 0.85106383],[0.875      0.89460784 0.8875     0.8475     0.859375  ],0.8089024390243903,0.8400592315485934,0.872796568627451
