,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.8292682926829268, 0.8048780487804879, 0.8780487804878049, 0.8048780487804879, 0.725]",[0.8627451  0.84615385 0.90196078 0.82608696 0.73170732],[0.91421569 0.85539216 0.9125     0.8675     0.85677083],0.8084146341463414,0.8337308004203395,0.8812757352941176
1,RandomForest,"[0.7317073170731707, 0.8048780487804879, 0.7560975609756098, 0.7804878048780488, 0.8]",[0.78431373 0.85714286 0.8627451  0.80851064 0.77272727],[0.85294118 0.87745098 0.905      0.84       0.84375   ],0.7841463414634147,0.8170879183394828,0.863828431372549
2,KNN,"[0.8048780487804879, 0.8780487804878049, 0.8048780487804879, 0.7560975609756098, 0.8]",[0.84615385 0.89361702 0.83333333 0.7826087  0.83333333],[0.78186275 0.87867647 0.80625    0.76625    0.79166667],0.8087804878048781,0.8378092459498564,0.8049411764705882
3,LogisticRegression,"[0.7317073170731707, 0.7804878048780488, 0.8292682926829268, 0.7804878048780488, 0.725]",[0.8        0.89361702 0.81632653 0.80851064 0.77272727],[0.84313725 0.87990196 0.865      0.84       0.83854167],0.7890243902439025,0.8182362925827972,0.8533161764705882
