,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.8048780487804879, 0.7560975609756098, 0.7804878048780488, 0.7804878048780488, 0.675]",[0.84       0.80769231 0.80851064 0.80851064 0.69767442],[0.90686275 0.88480392 0.905      0.8975     0.8359375 ],0.759390243902439,0.7924776005785408,0.8860208333333333
1,RandomForest,"[0.7560975609756098, 0.7804878048780488, 0.7560975609756098, 0.7804878048780488, 0.6]",[0.79166667 0.84       0.80851064 0.8        0.74418605],[0.87254902 0.90686275 0.895      0.885      0.84375   ],0.769390243902439,0.7968726702952333,0.8806323529411765
2,KNN,"[0.7804878048780488, 0.8536585365853658, 0.8292682926829268, 0.8780487804878049, 0.775]",[0.83018868 0.875      0.85106383 0.88888889 0.80851064],[0.75245098 0.84926471 0.8375     0.9        0.77083333],0.8232926829268292,0.8507304072438557,0.8220098039215685
3,LogisticRegression,"[0.7560975609756098, 0.8048780487804879, 0.8292682926829268, 0.8292682926829268, 0.675]",[0.83018868 0.84       0.82608696 0.85106383 0.72727273],[0.91176471 0.88235294 0.8725     0.91       0.83854167],0.7839024390243903,0.8149224385653968,0.8830318627450982
