,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7804878048780488, 0.8292682926829268, 0.8536585365853658, 0.7560975609756098, 0.725]",[0.81632653 0.85714286 0.875      0.79166667 0.76595745],[0.84313725 0.92401961 0.8925     0.8325     0.83854167],0.7889024390243903,0.8212187002460558,0.866139705882353
1,RandomForest,"[0.7560975609756098, 0.8536585365853658, 0.8780487804878049, 0.7804878048780488, 0.75]",[0.80769231 0.89361702 0.92307692 0.84       0.83333333],[0.85294118 0.91176471 0.9325     0.87       0.82552083],0.8282926829268293,0.8595439170758319,0.8785453431372549
2,KNN,"[0.7317073170731707, 0.8536585365853658, 0.8536585365853658, 0.8292682926829268, 0.8]",[0.78431373 0.86956522 0.88       0.84444444 0.82608696],[0.71078431 0.85784314 0.84625    0.84875    0.80208333],0.8136585365853659,0.8408820687695368,0.813142156862745
3,LogisticRegression,"[0.7073170731707317, 0.8536585365853658, 0.8292682926829268, 0.8048780487804879, 0.75]",[0.81481481 0.86956522 0.88       0.83333333 0.7826087 ],[0.83333333 0.87990196 0.8875     0.845      0.80729167],0.8036585365853659,0.8360644122383253,0.8506053921568627
