,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.8292682926829268, 0.7804878048780488, 0.8536585365853658, 0.8292682926829268, 0.7]",[0.8627451  0.82352941 0.875      0.85106383 0.72727273],[0.89460784 0.87745098 0.9175     0.9175     0.84895833],0.7985365853658536,0.8279222133727766,0.891203431372549
1,RandomForest,"[0.7317073170731707, 0.7804878048780488, 0.7804878048780488, 0.8292682926829268, 0.75]",[0.8        0.875      0.83333333 0.80851064 0.77272727],[0.84313725 0.8995098  0.89       0.8475     0.83854167],0.7890243902439025,0.8179142488716957,0.8637377450980394
2,KNN,"[0.8048780487804879, 0.8780487804878049, 0.8048780487804879, 0.7804878048780488, 0.8]",[0.84615385 0.89361702 0.83333333 0.80851064 0.83333333],[0.78186275 0.87867647 0.80625    0.78625    0.79166667],0.8136585365853659,0.8429896344789961,0.8089411764705883
3,LogisticRegression,"[0.7317073170731707, 0.8048780487804879, 0.8048780487804879, 0.7804878048780488, 0.775]",[0.82352941 0.88       0.78431373 0.80851064 0.79069767],[0.87254902 0.86029412 0.8275     0.815      0.83333333],0.7842682926829269,0.8174102899942758,0.8417352941176471
