,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.6097560975609756, 0.6097560975609756, 0.5853658536585366, 0.7073170731707317, 0.675]",[0.68       0.68       0.66666667 0.75       0.74509804],[0.54411765 0.59681373 0.6225     0.755      0.734375  ],0.6374390243902438,0.7043529411764706,0.6505612745098039
1,RandomForest,"[0.5853658536585366, 0.5609756097560976, 0.6097560975609756, 0.6829268292682927, 0.675]",[0.63829787 0.68       0.68       0.79166667 0.72340426],[0.51470588 0.57352941 0.6375     0.7975     0.6484375 ],0.6471951219512194,0.7026737588652483,0.6343345588235294
2,KNN,"[0.5365853658536586, 0.6585365853658537, 0.5609756097560976, 0.6097560975609756, 0.65]",[0.59574468 0.70833333 0.64       0.65217391 0.69565217],[0.52696078 0.64828431 0.53875    0.6125     0.64583333],0.6031707317073172,0.6583808202281838,0.5944656862745099
3,LogisticRegression,"[0.3902439024390244, 0.4634146341463415, 0.36585365853658536, 0.43902439024390244, 0.375]",[0.44444444 0.47619048 0.40909091 0.53061224 0.41860465],[0.3872549  0.48039216 0.345      0.345      0.34114583],0.40670731707317076,0.4557885451573159,0.3797585784313725
