,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7317073170731707, 0.7804878048780488, 0.8292682926829268, 0.7073170731707317, 0.8]",[0.80701754 0.81632653 0.8627451  0.73913043 0.82608696],[0.78431373 0.85539216 0.9        0.8        0.8046875 ],0.7697560975609756,0.8102613127630915,0.8288786764705882
1,RandomForest,"[0.7073170731707317, 0.8292682926829268, 0.7560975609756098, 0.7804878048780488, 0.725]",[0.77777778 0.85714286 0.83333333 0.82352941 0.75555556],[0.81862745 0.87990196 0.8775     0.845      0.79166667],0.769390243902439,0.8094677871148459,0.8425392156862745
2,KNN,"[0.7560975609756098, 0.8536585365853658, 0.7804878048780488, 0.8292682926829268, 0.8]",[0.82142857 0.875      0.81632653 0.85714286 0.81818182],[0.71446078 0.84926471 0.775      0.82625    0.8125    ],0.8039024390243903,0.8376159554730984,0.7954950980392156
3,LogisticRegression,"[0.7073170731707317, 0.8292682926829268, 0.8048780487804879, 0.7804878048780488, 0.8]",[0.85714286 0.81632653 0.75       0.89795918 0.84444444],[0.8872549  0.88235294 0.8175     0.9125     0.8828125 ],0.8040243902439025,0.8331746031746032,0.8764840686274511
