,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.6829268292682927, 0.8292682926829268, 0.6585365853658537, 0.7073170731707317, 0.725]",[0.72340426 0.8627451  0.68181818 0.73913043 0.7755102 ],[0.79779412 0.875      0.76       0.8275     0.85677083],0.720609756097561,0.7565216348081576,0.8234129901960783
1,RandomForest,"[0.5853658536585366, 0.926829268292683, 0.6829268292682927, 0.7073170731707317, 0.7]",[0.71111111 0.93877551 0.73469388 0.75       0.75      ],[0.76348039 0.92647059 0.8075     0.785      0.81510417],0.74,0.7769160997732427,0.8195110294117647
2,KNN,"[0.7073170731707317, 0.7560975609756098, 0.6585365853658537, 0.6829268292682927, 0.75]",[0.76       0.79166667 0.70833333 0.73469388 0.79166667],[0.68995098 0.74877451 0.6525     0.6725     0.73958333],0.7109756097560976,0.7572721088435375,0.7006617647058823
3,LogisticRegression,"[0.5853658536585366, 0.7073170731707317, 0.6097560975609756, 0.6341463414634146, 0.675]",[0.54054054 0.71428571 0.63636364 0.68085106 0.72340426],[0.71936275 0.77205882 0.5825     0.61       0.71614583],0.6423170731707317,0.6590890420677654,0.6800134803921569
