,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7804878048780488, 0.8536585365853658, 0.8780487804878049, 0.8780487804878049, 0.825]",[0.83018868 0.88       0.89795918 0.89361702 0.85106383],[0.88235294 0.93382353 0.9575     0.8925     0.86979167],0.8430487804878048,0.8705657427965164,0.9071936274509804
1,RandomForest,"[0.7073170731707317, 0.8536585365853658, 0.8292682926829268, 0.8048780487804879, 0.775]",[0.83018868 0.88       0.90196078 0.85714286 0.89361702],[0.90686275 0.92401961 0.945      0.8825     0.89583333],0.8432926829268294,0.8725818683956923,0.9108431372549018
2,KNN,"[0.7560975609756098, 0.8780487804878049, 0.8048780487804879, 0.8292682926829268, 0.75]",[0.81481481 0.89795918 0.82608696 0.85106383 0.7826087 ],[0.72303922 0.87009804 0.8175     0.8375     0.75      ],0.8036585365853659,0.8345066960898861,0.7996274509803921
3,LogisticRegression,"[0.8048780487804879, 0.8780487804878049, 0.8536585365853658, 0.8292682926829268, 0.725]",[0.85185185 0.89795918 0.875      0.85714286 0.75555556],[0.92892157 0.90441176 0.92       0.9025     0.86458333],0.818170731707317,0.8475018896447468,0.9040833333333333
