,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7804878048780488, 0.7804878048780488, 0.8048780487804879, 0.6829268292682927, 0.75]",[0.83636364 0.82352941 0.83333333 0.72340426 0.76190476],[0.87254902 0.87009804 0.915      0.805      0.84375   ],0.7597560975609757,0.7957070797371173,0.8612794117647059
1,RandomForest,"[0.6829268292682927, 0.8048780487804879, 0.8048780487804879, 0.7804878048780488, 0.7]",[0.80769231 0.8        0.79166667 0.85714286 0.77272727],[0.83823529 0.88480392 0.8775     0.855      0.80729167],0.774390243902439,0.8058458208458209,0.8525661764705882
2,KNN,"[0.7560975609756098, 0.8780487804878049, 0.6829268292682927, 0.7560975609756098, 0.75]",[0.81481481 0.89795918 0.72340426 0.79166667 0.77272727],[0.72303922 0.87009804 0.68375    0.755      0.76041667],0.7646341463414634,0.8001144386402744,0.7584607843137254
3,LogisticRegression,"[0.7560975609756098, 0.8536585365853658, 0.8048780487804879, 0.8536585365853658, 0.8]",[0.92307692 0.89795918 0.82352941 0.89361702 0.77272727],[0.93872549 0.87990196 0.8475     0.8725     0.88020833],0.8378048780487806,0.8621819625037934,0.8837671568627451
