,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.8292682926829268, 0.7804878048780488, 0.7317073170731707, 0.7804878048780488, 0.7]",[0.85714286 0.82352941 0.76595745 0.80851064 0.73913043],[0.92647059 0.88235294 0.845      0.8675     0.83984375],0.764390243902439,0.7988541577593111,0.872233455882353
1,RandomForest,"[0.7560975609756098, 0.8048780487804879, 0.8048780487804879, 0.7804878048780488, 0.65]",[0.81818182 0.85714286 0.85106383 0.77272727 0.71428571],[0.88970588 0.90441176 0.9075     0.8675     0.8359375 ],0.7839024390243903,0.8026802984249792,0.8810110294117646
2,KNN,"[0.7804878048780488, 0.8292682926829268, 0.8048780487804879, 0.8536585365853658, 0.85]",[0.83018868 0.85714286 0.82608696 0.86956522 0.88      ],[0.75245098 0.81985294 0.8175     0.86875    0.83333333],0.8236585365853658,0.8525967420602367,0.8183774509803922
3,LogisticRegression,"[0.7804878048780488, 0.8048780487804879, 0.8292682926829268, 0.8292682926829268, 0.7]",[0.82352941 0.84       0.85714286 0.85106383 0.72727273],[0.88480392 0.88235294 0.9025     0.8925     0.83072917],0.788780487804878,0.819801765193505,0.8785772058823529
