,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7560975609756098, 0.8536585365853658, 0.8048780487804879, 0.8048780487804879, 0.75]",[0.81481481 0.88       0.82608696 0.82608696 0.7826087 ],[0.91176471 0.90686275 0.8975     0.885      0.84895833],0.7939024390243903,0.8259194847020934,0.890017156862745
1,RandomForest,"[0.7804878048780488, 0.8536585365853658, 0.8048780487804879, 0.7560975609756098, 0.825]",[0.85185185 0.875      0.82608696 0.86956522 0.83333333],[0.90686275 0.92156863 0.9125     0.8925     0.86979167],0.8234146341463415,0.8511674718196456,0.9006446078431374
2,KNN,"[0.7317073170731707, 0.8780487804878049, 0.8048780487804879, 0.8292682926829268, 0.75]",[0.79245283 0.89795918 0.82608696 0.85106383 0.7826087 ],[0.70220588 0.87009804 0.8175     0.8375     0.75      ],0.7987804878048781,0.8300342991646591,0.7954607843137255
3,LogisticRegression,"[0.8048780487804879, 0.8536585365853658, 0.8780487804878049, 0.8048780487804879, 0.7]",[0.88461538 0.8627451  0.89361702 0.83333333 0.73913043],[0.93382353 0.8872549  0.905      0.9        0.8359375 ],0.8131707317073171,0.8426882544094276,0.8924031862745098
