,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7317073170731707, 0.8292682926829268, 0.8536585365853658, 0.8536585365853658, 0.85]",[0.8        0.86792453 0.875      0.875      0.875     ],[0.87009804 0.90686275 0.91       0.8875     0.8671875 ],0.8236585365853658,0.8585849056603774,0.888329656862745
1,RandomForest,"[0.7317073170731707, 0.8292682926829268, 0.7560975609756098, 0.8048780487804879, 0.725]",[0.82352941 0.89361702 0.875      0.85714286 0.8       ],[0.84803922 0.94117647 0.9025     0.8725     0.83333333],0.8232926829268292,0.8498578580368317,0.8795098039215686
2,KNN,"[0.7560975609756098, 0.8780487804878049, 0.8292682926829268, 0.8292682926829268, 0.8]",[0.81481481 0.89795918 0.85106383 0.85106383 0.82608696],[0.72303922 0.87009804 0.8375     0.8375     0.80208333],0.8185365853658537,0.8481977229168983,0.8140441176470589
3,LogisticRegression,"[0.7804878048780488, 0.8780487804878049, 0.8048780487804879, 0.8292682926829268, 0.75]",[0.83018868 0.89795918 0.84       0.85106383 0.77272727],[0.88235294 0.91911765 0.91       0.885      0.88541667],0.8085365853658537,0.8383877930866518,0.8963774509803922
