,Model,ACC_list,F1_list,AUC_list,ACC,F1,AUC
0,GradientBoosting,"[0.7560975609756098, 0.8048780487804879, 0.8780487804878049, 0.7073170731707317, 0.75]",[0.80769231 0.82608696 0.89795918 0.75       0.7826087 ],[0.85539216 0.90931373 0.8775     0.8425     0.8359375 ],0.7792682926829269,0.812869428707938,0.8641286764705882
1,RandomForest,"[0.7317073170731707, 0.8048780487804879, 0.8536585365853658, 0.7804878048780488, 0.75]",[0.79245283 0.85106383 0.92307692 0.81632653 0.7826087 ],[0.85539216 0.90686275 0.935      0.8675     0.83333333],0.7987804878048781,0.833105761863451,0.8796176470588234
2,KNN,"[0.7317073170731707, 0.8292682926829268, 0.8292682926829268, 0.8536585365853658, 0.8]",[0.78431373 0.84444444 0.85714286 0.86956522 0.82608696],[0.71078431 0.8370098  0.82625    0.86875    0.80208333],0.8087804878048781,0.8363106401981082,0.8089754901960784
3,LogisticRegression,"[0.7073170731707317, 0.8536585365853658, 0.8292682926829268, 0.7804878048780488, 0.75]",[0.83018868 0.86956522 0.88       0.83333333 0.80851064],[0.84313725 0.88235294 0.8875     0.8375     0.79947917],0.8135365853658538,0.8443195736535586,0.8499938725490198
